ranking,imdb_id,director,actor 1,actior 2,rating,
54,tt0209144,Christopher Nolan (dir.),Guy Pearce, Carrie-Anne Moss,8.408362562749685,
55,tt0082971,Steven Spielberg (dir.),Harrison Ford, Karen Allen,8.405603897651027,
56,tt0032553,Charles Chaplin (dir.),Charles Chaplin, Paulette Goddard,8.403976845570334,
57,tt0405094,Florian Henckel von Donnersmarck (dir.),Ulrich Mühe, Martina Gedeck,8.3910422632245,
58,tt1853728,Quentin Tarantino (dir.),Jamie Foxx, Christoph Waltz,8.39004148278489,
59,tt0050825,Stanley Kubrick (dir.),Kirk Douglas, Ralph Meeker,8.382431158104573,
60,tt0043014,Billy Wilder (dir.),William Holden, Gloria Swanson,8.377439439949574,
61,tt0910970,Andrew Stanton (dir.),Ben Burtt, Elissa Knight,8.373445069665387,
62,tt4154756,Anthony Russo (dir.),Robert Downey Jr., Chris Hemsworth,8.36615707571141,
63,tt0051201,Billy Wilder (dir.),Tyrone Power, Marlene Dietrich,8.36505994236956,
64,tt0081505,Stanley Kubrick (dir.),Jack Nicholson, Shelley Duvall,8.364143817356712,
65,tt4633694,Bob Persichetti (dir.),Shameik Moore, Jake Johnson,8.355079938981198,
66,tt0057012,Stanley Kubrick (dir.),Peter Sellers, George C. Scott,8.352704824614051,
67,tt7286456,Todd Phillips (dir.),Joaquin Phoenix, Robert De Niro,8.345193572737516,
68,tt0119698,Hayao Miyazaki (dir.),Yôji Matsuda, Yuriko Ishida,8.345026546549505,
69,tt0364569,Park Chan-Wook (dir.),Choi Min-sik, Yoo Ji-Tae,8.343961701066192,
70,tt5311514,Makoto Shinkai (dir.),Ryûnosuke Kamiki, Mone Kamishiraishi,8.327603585913952,
71,tt1345836,Christopher Nolan (dir.),Christian Bale, Tom Hardy,8.322312997883717,
72,tt2380307,Lee Unkrich (dir.),Anthony Gonzalez, Gael García Bernal,8.322044404151029,
73,tt0090605,James Cameron (dir.),Sigourney Weaver, Michael Biehn,8.321327048157535,
